"","x"
"factor(jd)120",44058.1355764371
"factor(jd)121",22000.6533317741
"factor(jd)122",-22245.7886693868
"factor(jd)123",-68555.9075486887
"factor(jd)124",-50844.4716780989
"factor(jd)125",45980.1890474739
"factor(jd)126",28217.7804033499
"factor(jd)127",74842.4716095338
"factor(jd)128",84553.8146503932
"factor(jd)129",-4792.56613047895
"factor(jd)130",12017.233660443
"factor(jd)131",67753.7351733022
"factor(jd)132",58955.6312453223
"factor(jd)133",5677.26552859318
"factor(jd)134",36400.8128199789
"factor(jd)135",69991.048063354
"factor(jd)136",30525.1579873749
"factor(jd)137",24279.340361044
"factor(jd)138",-30841.0705666418
"factor(jd)139",24948.0316945564
"factor(jd)140",48066.3774618216
"factor(jd)141",48654.6042993911
"factor(jd)142",-45773.4557302528
"factor(jd)143",-69920.6580041975
"factor(jd)144",-28601.3994250533
"factor(jd)145",8376.66058059601
"factor(jd)146",6304.6868862415
"factor(jd)147",7495.96011026053
"factor(jd)148",-8128.08231952537
"factor(jd)149",9839.30773532938
"factor(jd)150",25872.8979873381
"factor(jd)151",44939.5876866762
"factor(jd)152",25004.9110015978
"factor(jd)153",-74051.6049904868
"factor(jd)154",-50827.4010143933
"factor(jd)155",-88901.3052324806
"factor(jd)156",-42326.7205889824
"factor(jd)157",-36689.6897774527
